Name,MarJun_PA,MarJun_AB,MarJun_AVG,MarJun_SLG,MarJun_BB%,MarJun_K%,MarJun_BABIP,MarJun_GB/FB,MarJun_LD%,MarJun_GB%,MarJun_FB%,MarJun_HR/FB,FullSeason_SLG
Carlos Beltran,288,264,0.231,0.409,6.60%,20.49%,0.258,1.05,15.38%,43.27%,41.35%,11.63%,0.389
Todd Frazier,289,244,0.213,0.443,14.19%,21.11%,0.216,0.77,18.28%,35.48%,46.24%,17.44%,0.435
Brandon Phillips,292,275,0.295,0.44,4.45%,12.67%,0.32,1.5,22.27%,46.64%,31.09%,9.46%,0.417
Albert Pujols,323,300,0.233,0.373,6.19%,17.34%,0.25,1.12,16.60%,44.13%,39.27%,11.34%,0.39
Jose Reyes,296,263,0.202,0.338,9.46%,13.18%,0.214,0.93,17.94%,39.46%,42.60%,6.32%,0.413
Miguel Cabrera,279,242,0.269,0.455,12.19%,20.43%,0.313,1.29,28.49%,40.32%,31.18%,17.24%,0.399
Joe Mauer,283,255,0.286,0.4,9.54%,14.49%,0.329,1.66,25.59%,46.45%,27.96%,6.78%,0.421
Jose Bautista,343,291,0.234,0.416,13.12%,23.32%,0.27,0.8,17.76%,36.45%,45.79%,14.29%,0.366
David Peralta,284,261,0.314,0.475,6.34%,15.14%,0.349,2.46,18.18%,58.18%,23.64%,15.38%,0.447
Edwin Encarnacion,328,274,0.263,0.482,14.33%,22.87%,0.299,1.06,20.90%,40.80%,38.31%,22.08%,0.501
Carlos Santana,346,298,0.225,0.383,13.01%,14.16%,0.241,1.14,20.88%,42.17%,36.95%,9.78%,0.464
Nelson Cruz,318,274,0.285,0.5,11.32%,19.50%,0.315,1.13,14.75%,45.16%,40.09%,16.09%,0.55
Mitch Moreland,303,265,0.264,0.468,10.56%,23.76%,0.317,1.17,21.65%,42.27%,36.08%,17.14%,0.43
Shin-Soo Choo,311,258,0.256,0.426,15.11%,21.22%,0.297,1.94,24.61%,49.74%,25.65%,24.49%,0.423
Robinson Cano,309,282,0.287,0.504,8.09%,11.00%,0.278,1.5,16.00%,50.40%,33.60%,19.05%,0.458
Anthony Rizzo,354,291,0.258,0.502,13.56%,11.30%,0.243,0.93,18.00%,39.60%,42.40%,16.98%,0.518
Eric Hosmer,326,296,0.304,0.47,8.59%,15.64%,0.338,2.65,24.39%,54.88%,20.73%,19.61%,0.5
Eric Thames,304,253,0.241,0.542,15.46%,27.63%,0.275,0.96,17.26%,40.48%,42.26%,28.17%,0.52
Josh Reddick,273,240,0.308,0.504,8.06%,12.45%,0.324,0.71,25.71%,30.95%,43.33%,8.79%,0.484
Melky Cabrera,334,306,0.281,0.395,6.59%,11.68%,0.298,1.99,19.26%,53.70%,27.04%,10.96%,0.429
